country_iso3,country_name,case_group,airport_name,airport_iata,airport_lat,airport_lon,scenario,model_version,annual_saf_tonnes,plant_availability,process_average_power_mw,process_rated_power_mw,best_candidate_id,best_candidate_kind,best_lat,best_lon,distance_to_airport_km,transport_mode,crosses_water,delivered_cost_usd_per_tonne_saf,delivered_cost_eur_per_tonne_saf,delivered_cost_energy_allocated_usd_per_tonne_saf,annual_renewable_cost_usd,annual_process_cost_usd,annual_transport_cost_usd,annual_water_cost_usd,gross_annual_cost_usd,coproduct_credit_usd_per_tonne_saf,annual_coproduct_credit_usd,renewable_cost_share,process_cost_share,transport_cost_share,water_cost_share,wacc_used,wacc_process_used,h2_storage_geology,h2_storage_capex_usd_per_kwh_used,sizing_mode,scenario_year,mandate_synthetic_share,airport_fuel_kt_2024,carbon_source,dac_fraction,co2_delivered_cost_usd_per_t,co2_mean_haul_km,annual_co2_purchase_usd,operating_strategy,synthesis_oversize,synthesis_load_min,fuel_storage_tonnes,fuel_storage_days,wind_mw,solar_mw,renewable_capacity_mw,renewable_capacity_overbuild_ratio,battery_mwh,seasonal_h2_storage_mwh,annual_generation_mwh,annual_demand_mwh,generation_to_demand_ratio,curtailed_energy_frac,electrolyser_oversize_ratio,effective_annual_cf,adequacy_cf_used_for_sizing,selected_main_resource,solar_share,solar_cf_annual,wind_cf_annual,resource_source,raw_nasa_solar_cf_annual,raw_nasa_wind_cf_annual,candidate_validity_note,resource_rank,distance_rank,renewable_capex_usd,process_capex_usd,transport_capex_component_usd,fixed_logistics_cost_usd,total_annual_cost_usd,gross_annual_cost_eur,total_annual_cost_eur,n_candidates_screened_out,n_candidates_total
ARE,United Arab Emirates,renewable_rich_reference,Dubai International Airport,DXB,25.2532,55.3657,base,v3,740000.0,0.9,3396.5421310428096,3773.935701158677,C00000,grid,23.59285336004176,51.82473534312471,544.3528531076598,rail,False,3299.9263956889695,3048.801996977039,1880.9580455427124,1111763002.7904394,1286642389.353938,23764379.311640702,19775761.35381905,2441945532.8098373,0.0,0.0,0.4552775595740596,0.5268923373051062,0.009731740119647999,0.008098363001186175,0.08,0.09,rock,2.05656,mandate,2050,,6300.0,dac,1.0,0.0,0.0,0.0,flex_fuel_store,1.15,0.5354949279794932,66831.145103725,32.964010760621115,4428.356978622414,10332.832950118971,14761.189928741385,4.3459463652256805,917.6942702048042,0.0,32134005.793369815,29753709.067935012,1.08,0.07407407407407418,1.2777777777777777,0.24850743871154904,0.24850743871154904,solar,0.7000000000000001,0.2309697051218035,0.28899691027090074,heuristic,0.2309697051218035,0.28899691027090074,valid,1.0,12.0,9615690272.8285,8424602288.971334,0.0,4004880.0,2441945532.8098373,2256113477.763009,2256113477.763009,0,12
BEL,Belgium,core_eu27_uk_ch,Brussels Airport,BRU,50.9014,4.4844,base,v3,341250.0,0.9,1566.310813808593,1740.3453486762144,C00000,grid,50.765882899430295,3.287792155214853,115.25577056228985,road,False,3326.2976441537953,3073.1663934336916,1895.9896571676632,600162503.7927938,520351544.40944713,5465457.240929907,9119565.624311829,1135099071.0674827,0.0,0.0,0.5287313848547001,0.45841949630008266,0.00481496054418406,0.008034158301033146,0.04,0.05,rock,2.05656,mandate,2050,0.35,975.0,dac,1.0,0.0,0.0,0.0,flex_fuel_store,1.15,0.7178512724246178,16858.87663273941,18.032205043076587,3543.3591792959514,6580.524190121053,10123.883369417004,6.463521339548236,419.86586867464825,0.0,13720882.728963273,13720882.728963275,0.9999999999999999,0.0,1.2777777777777777,0.1547144269303046,0.1547144269303046,solar,0.65,0.08,0.2935536894491148,heuristic,0.08,0.2935536894491148,valid,1.0,4.0,6984905999.624983,4185599288.9266,0.0,1846845.0,1135099071.0674827,1048718031.7592473,1048718031.7592473,0,5
GBR,United Kingdom,core_eu27_uk_ch,Heathrow Airport,LHR,51.47,-0.4543,base,v3,217000.00000000003,0.9,996.0130303193105,1106.6811447992338,C00002,grid,53.244897736809385,-4.605299126473892,464.44011218767224,rail,False,3373.4390583031723,3116.720345966301,1922.860263232808,387933470.3247037,332064896.4872025,6238800.4428839525,5799108.39699829,732036275.6517885,0.0,0.0,0.5299374952140132,0.45361808906469764,0.008522529074572249,0.00792188664671692,0.054,0.064,salt,0.97416,mandate,2050,0.035,6200.0,dac,1.0,0.0,0.0,0.0,steady_h2_store,1.0,1.0,0.0,0.0,2424.0431122746604,1983.3080009519947,4407.351113226655,4.4249934278607865,235.22809459516054,179175.65941524555,9074077.111421045,8725074.14559716,1.0399999999999998,0.026702454193058823,1.1111,0.2350285976589069,0.2350285976589069,mixed,0.45,0.08,0.36234100187009194,heuristic,0.08,0.36234100187009194,valid,1.0,15.0,3985264864.6739326,2411256569.627711,0.0,1174404.0000000002,732036275.6517885,676328315.0746874,676328315.0746874,6,25
POL,Poland,core_eu27_uk_ch,Warsaw Chopin Airport,WAW,52.1657,20.9671,base,v3,185500.0,0.9,851.4304936600557,946.0338818445063,C00007,grid,54.419265692428354,16.50298019589284,524.1172873969498,rail,False,3418.0171033580805,3157.906001792531,1948.2697489141058,342864510.48349214,280421213.6466502,5799146.203412102,4957302.339369505,634042172.6729239,0.0,0.0,0.5407597873783101,0.44227533393320173,0.009146309903905463,0.00781856878458268,0.046,0.056,salt,0.97416,mandate,2050,0.35,530.0,dac,1.0,0.0,0.0,0.0,steady_h2_store,1.0,1.0,0.0,0.0,2331.5317494030437,1723.3060756457282,4054.8378250487717,4.762382666867128,201.082080863605,147408.4898380836,7756872.369440573,7458531.124462089,1.0400000000000003,0.025420243345844185,1.1111,0.21837808356634025,0.21837808356634025,mixed,0.42500000000000004,0.08000000000000002,0.32106383418436585,heuristic,0.08000000000000002,0.32106383418436585,valid,6.0,35.0,3734566643.859144,2120204804.009607,0.0,1003926.0,634042172.6729239,585791563.3325144,585791563.3325144,0,38
SAU,Saudi Arabia,renewable_rich_reference,King Khalid International Airport,RUH,24.9576,46.6988,base,v3,740000.0,0.9,3396.5421310428096,3773.935701158677,C00099,grid,28.9201662920255,46.34436256272149,596.720948485462,rail,False,3442.078354065312,3180.136191320942,1961.9846618172276,1166844638.3328846,1335121985.7158566,25395596.605770223,19775761.35381905,2547137982.0083303,0.0,0.0,0.4581002861151902,0.5241655517472825,0.0099702476996345,0.00776391443789258,0.087,0.09699999999999999,rock,2.05656,mandate,2050,,1100.0,dac,1.0,0.0,0.0,0.0,flex_fuel_store,1.15,0.5356161058582213,66801.18444215416,32.9492328667382,4427.0868683952385,10329.869359588893,14756.956227984132,4.3446998914314765,917.6485629049746,0.0,32134005.79336981,29753709.067935012,1.0799999999999998,0.07407407407407408,1.2777777777777777,0.24857873431717403,0.24857873431717403,solar,0.7000000000000001,0.2309697051218035,0.2892351389716626,heuristic,0.2309697051218035,0.2892351389716626,valid,14.0,60.0,9612967165.396698,8424602288.971334,0.0,4004880.0,2547137982.0083303,2353300781.5774965,2353300781.5774965,0,194
LUX,Luxembourg,core_eu27_uk_ch,Luxembourg Airport,LUX,49.6266,6.2115,base,v3,213500.0,0.9,979.9483040238376,1088.8314489153752,C00001,airport_or_nearest_boundary,49.62659999680268,6.211500000000002,4.799606707790663e-07,road,False,3523.6056237668035,3255.45923579815,2008.4552055470779,382217740.48566324,363211023.78852654,1155462.0094277973,5705574.3905950915,752289800.6742126,0.0,0.0,0.5080724743883466,0.48280732167711404,0.0015359267245046472,0.007584277210034852,0.045,0.055,rock,2.05656,mandate,2050,0.35,610.0,dac,1.0,0.0,0.0,0.0,flex_fuel_store,1.15,0.7203913048705347,10463.180554995686,17.887873079969207,2168.2323931822934,4026.717301624259,6194.9496948065525,6.321710716135755,262.7355779341108,0.0,8584347.143248819,8584347.143248817,1.0000000000000002,0.0,1.2777777777777777,0.1581850301133782,0.1581850301133782,solar,0.65,0.0820487083546488,0.29967636750605625,heuristic,0.0820487083546488,0.29967636750605625,valid,1.0,1.0,4275257752.26977,2816487371.613622,0.0,1155462.0,752289800.6742126,695040546.842905,695040546.842905,0,5
AUT,Austria,core_eu27_uk_ch,Vienna International Airport,VIE,48.1103,16.5697,base,v3,297500.0,0.9,1365.5017351151837,1517.2241501279818,C00004,grid,46.847911848013844,15.382473621743523,224.53538306003276,rail,False,3533.2093658591657,3264.3321331172833,2013.9293385397243,541518942.8467567,496111529.7416018,5548923.210471409,7950390.544271848,1051129786.3431017,0.0,0.0,0.5151780016915991,0.4719793275648502,0.005279008627256399,0.007563662116294307,0.053,0.063,rock,2.05656,mandate,2050,0.35,850.0,dac,1.0,0.0,0.0,0.0,flex_fuel_store,1.15,0.6940817983212508,16839.781691246255,20.660572495142464,3080.4052387929123,4620.60785818937,7701.013096982282,5.6396948454501095,370.4741964536871,0.0,11961795.199609008,11961795.19960901,0.9999999999999999,0.0,1.2777777777777777,0.17731455821705705,0.17731455821705705,solar,0.6000000000000001,0.10850284203784845,0.2805525765446092,heuristic,0.10850284203784845,0.2805525765446092,valid,1.0,6.0,5657316433.7603855,3699109786.6609726,0.0,1610070.0,1051129786.3431017,971138809.6023917,971138809.6023917,1,11
MAR,Morocco,renewable_rich_reference,Mohammed V International Airport,CMN,33.3675,-7.58997,base,v3,740000.0,0.9,3396.5421310428096,3773.935701158677,C00008,grid,25.80720281809836,-14.667434210861758,1462.4854421631953,rail,False,3565.8670962756364,3294.5046102490605,2032.5442448771125,1139110484.9930446,1427492052.360136,52363352.536970854,19775761.35381905,2638741651.243971,0.0,0.0,0.4316870067427929,0.5409745405304,0.019844061851331835,0.007494390875475152,0.1,0.11,rock,2.05656,mandate,2050,,430.0,dac,1.0,0.0,0.0,0.0,flex_fuel_store,1.15,0.5242025079403254,69514.61685793838,34.28761507182096,3548.5947101622965,10645.784130486889,14194.378840649186,4.179067502481182,921.8845295861844,0.0,32134005.793369822,29753709.067935012,1.0800000000000003,0.07407407407407422,1.2777777777777777,0.2584308579267471,0.2584308579267471,solar,0.75,0.2309697051218035,0.3402044104347515,heuristic,0.2309697051218035,0.3402044104347515,valid,2.0,54.0,8640910482.182976,8424602288.971334,0.0,4004880.0,2638741651.243971,2437933411.584305,2437933411.584305,0,64
SWE,Sweden,core_eu27_uk_ch,Stockholm Arlanda Airport,ARN,59.6519,17.9186,base,v3,173250.0,0.9,795.203951625901,883.5599462510012,C00003,grid,62.12806283081116,12.088549580280034,564.8141315122276,rail,False,3580.1463333272577,3307.6971973610534,2040.6834099965367,299648293.03842616,310269153.5211077,5712972.372455277,4629933.316958314,620260352.2489474,0.0,0.0,0.48310083330646203,0.5002240630021411,0.009210603824250757,0.007464499867146185,0.057,0.067,rock,2.05656,mandate,2050,0.35,495.0,dac,1.0,0.0,0.0,0.0,flex_fuel_store,1.05,0.8496830829730243,4711.046365371432,9.925148186785414,2029.224580076974,1092.6593892722171,3121.8839693491914,3.9258909151118795,196.59540266744872,0.0,7523265.545542326,6965986.616242893,1.0800000000000003,0.07407407407407397,1.1666666666666667,0.27509679289426264,0.27509679289426264,mixed,0.35000000000000003,0.08,0.3807096503996088,heuristic,0.08,0.3807096503996088,valid,1.0,22.0,2976718466.250311,2233076520.3258,0.0,937629.0,620260352.2489474,573058539.4428025,573058539.4428025,20,46
IRL,Ireland,core_eu27_uk_ch,Dublin Airport,DUB,53.4213,-6.2701,base,v3,306250.0,0.9,1405.6635508538654,1561.8483898376285,C00007,quartile,54.30458272259698,-7.57016564749122,175.56734862240006,rail,False,3602.849467317105,3328.6726228542734,2053.62419637075,579033866.5644524,511073681.4194274,5080875.821703744,8184225.560279845,1103372649.3658633,0.0,0.0,0.5247854085355823,0.4631922693689703,0.004604859314415537,0.007417462781031894,0.065,0.075,rock,2.05656,mandate,2050,0.35,875.0,dac,1.0,0.0,0.0,0.0,flex_fuel_store,1.05,0.8474304166803418,8472.666686843088,10.098035398196659,3702.2330730436547,1993.510116254276,5695.743189297931,4.051996073909772,347.79208655554015,0.0,13298701.721918248,12313612.705479862,1.0799999999999996,0.0740740740740738,1.1666666666666667,0.2665353026756287,0.2665353026756287,mixed,0.35000000000000003,0.08,0.3675259561186768,heuristic,0.08,0.3675259561186768,valid,1.0,3.0,5428904537.941628,3553819379.370414,0.0,1657425.0,1103372649.3658633,1019405990.7491212,1019405990.7491212,0,8
