exporter,year,export_port,export_port_lat,export_port_lon,delivered_cost_usd_per_tonne_saf,annual_saf_tonnes,best_lat,best_lon,site_to_terminal_km,transport_mode,solar_cf,wind_cf,operating_strategy,wacc_used,terminals_tried
SAU,2030,King Fahd Port,23.95,38.216667,7241.900910676969,197064.00000000003,24.723833062182518,37.235285095690756,177.51133659986948,rail,0.2309697051218035,0.2949151271982734,flex_fuel_store,0.087,King Fahd Port=7242
ARE,2030,Mina Jabal Ali,25.016667,55.05,6982.465866019524,197064.00000000003,23.59285336004176,51.82473534312471,490.2586567996056,rail,0.2309697051218035,0.2889969102709007,flex_fuel_store,0.08,Al Fujayrah=6990; Mina Jabal Ali=6982
MAR,2030,Ad Dakhla,23.7,-15.916667,7523.457820365559,197064.00000000003,23.46978817828779,-16.068458444438168,40.37731230784024,road,0.2309697051218035,0.343724514582479,flex_fuel_store,0.1,Mohammedia=7602; Agadir=7579; Ad Dakhla=7523
SAU,2050,King Fahd Port,23.95,38.216667,3083.55314905087,5635000.0,24.723833062182518,37.235285095690756,177.51133659986948,pipeline,0.2309697051218035,0.2949151271982734,flex_fuel_store,0.087,King Fahd Port=3084
ARE,2050,Mina Jabal Ali,25.016667,55.05,2979.5332602694507,5635000.0,23.59285336004176,51.82473534312471,490.2586567996056,rail,0.2309697051218035,0.2889969102709007,flex_fuel_store,0.08,Al Fujayrah=2983; Mina Jabal Ali=2980
MAR,2050,Ad Dakhla,23.7,-15.916667,3148.422151860526,5635000.0,23.46978817828779,-16.068458444438168,40.37731230784024,pipeline,0.2309697051218035,0.343724514582479,flex_fuel_store,0.1,Mohammedia=3219; Agadir=3195; Ad Dakhla=3148
