country_iso3,country_name,case_group,airport_name,airport_iata,airport_lat,airport_lon,scenario,model_version,annual_saf_tonnes,plant_availability,process_average_power_mw,process_rated_power_mw,best_candidate_id,best_candidate_kind,best_lat,best_lon,distance_to_airport_km,transport_mode,crosses_water,delivered_cost_usd_per_tonne_saf,delivered_cost_eur_per_tonne_saf,delivered_cost_energy_allocated_usd_per_tonne_saf,annual_renewable_cost_usd,annual_process_cost_usd,annual_transport_cost_usd,annual_water_cost_usd,gross_annual_cost_usd,coproduct_credit_usd_per_tonne_saf,annual_coproduct_credit_usd,renewable_cost_share,process_cost_share,transport_cost_share,water_cost_share,wacc_used,wacc_process_used,h2_storage_geology,h2_storage_capex_usd_per_kwh_used,sizing_mode,scenario_year,mandate_synthetic_share,airport_fuel_kt_2024,carbon_source,dac_fraction,co2_delivered_cost_usd_per_t,co2_mean_haul_km,annual_co2_purchase_usd,operating_strategy,synthesis_oversize,synthesis_load_min,fuel_storage_tonnes,fuel_storage_days,wind_mw,solar_mw,renewable_capacity_mw,renewable_capacity_overbuild_ratio,battery_mwh,seasonal_h2_storage_mwh,annual_generation_mwh,annual_demand_mwh,generation_to_demand_ratio,curtailed_energy_frac,electrolyser_oversize_ratio,effective_annual_cf,adequacy_cf_used_for_sizing,selected_main_resource,solar_share,solar_cf_annual,wind_cf_annual,resource_source,raw_nasa_solar_cf_annual,raw_nasa_wind_cf_annual,candidate_validity_note,resource_rank,distance_rank,renewable_capex_usd,process_capex_usd,transport_capex_component_usd,fixed_logistics_cost_usd,total_annual_cost_usd,gross_annual_cost_eur,total_annual_cost_eur,n_candidates_screened_out,n_candidates_total
DNK,Denmark,core_eu27_uk_ch,Copenhagen Airport,CPH,55.6181,12.6561,base,v3,280000.0,0.9,1462.4149110394246,1624.905456710472,C00002,grid,57.07493741267669,8.867060927090545,383.5517840307909,rail,False,5009.535803676397,4628.310129016624,2855.4354080955463,603532572.5994252,583341586.173624,7096704.466824772,12604648.182616225,1206575511.4224904,0.0,0.0,0.43027409285856727,0.41587941266614065,0.0050594254815390875,0.008986182036899312,0.04,0.05,salt,0.97416,mandate,2050,0.35,800.0,market,0.0,115.1191710727728,95.89778172558512,196094513.6069008,steady_h2_store,1.0,1.0,0.0,0.0,3738.9964725700215,1800.2575608670475,5539.254033437069,4.01891036884004,275.6594959860149,347758.1467991178,12556841.36115494,12073885.924187442,1.04,0.035326764831393555,1.1111,0.2587766097157749,0.2587766097157749,mixed,0.325,0.08,0.345365257834982,heuristic,0.08,0.345365257834982,valid,1.0,6.0,6872305678.789443,4559930644.416018,0.0,1515360.0,1206575511.4224904,1114755115.003239,1114755115.003239,0,7
FRA,France,core_eu27_uk_ch,Paris Charles de Gaulle Airport,CDG,49.0097,2.5479,base,v3,1400000.0,0.9,7312.074555197122,8124.527283552359,C00003,grid,48.71490604275789,-2.636778269710688,513.8212478411393,rail,False,5086.666868893937,4699.571520171109,2899.400115269544,3258287564.997727,3405647975.462985,43160388.6827769,47121423.44183382,6754217352.585322,0.0,0.0,0.4575389583589399,0.47823176934097705,0.006060717136333697,0.006616938059603778,0.04,0.05,salt,0.97416,mandate,2050,0.35,4000.0,market,0.689971541529931,139.03184,280.0,367116263.86618835,steady_h2_store,1.0,1.0,0.0,0.0,19833.255651611802,11899.95339096708,31733.20904257888,4.495300858805805,1411.8391644651329,1252571.4410077797,64312097.61971568,61838555.40357276,1.0400000000000003,0.023458634328814905,1.1111,0.23135270200274877,0.23135270200274877,mixed,0.375,0.1045027661079539,0.3078430396595046,heuristic,0.1045027661079539,0.3078430396595046,valid,1.0,31.0,37189569644.739655,28155785674.152718,0.0,7576800.0,6754217352.585322,6240221412.053579,6240221412.053579,17,58
DEU,Germany,core_eu27_uk_ch,Frankfurt Airport,FRA,50.0379,8.5622,base,v3,1242500.0,0.9,6489.466167737447,7210.517964152719,C00009,grid,53.13163577760156,8.015620732794213,467.19706919362136,rail,False,5096.001255578333,4708.195560028822,2904.72071567965,2988848138.725808,2233510197.3186727,35866355.34265995,55933126.31035949,5314157817.697501,0.0,0.0,0.4720390478377995,0.35274593353136635,0.005664496635342279,0.008833710667344011,0.04,0.05,salt,0.97416,mandate,2050,0.35,3550.0,market,0.0,134.6266613468602,246.08479110356768,1017623742.3585781,steady_h2_store,1.0,1.0,0.0,0.0,18468.47422704382,9944.56304533129,28413.03727237511,4.645541379933534,1223.239013437941,1255025.304107926,55720983.540125035,53577868.788581766,1.04,0.029786369305727846,1.1111,0.22387057071373667,0.22387057071373667,mixed,0.35000000000000003,0.07999999999999999,0.30175022548604186,heuristic,0.07999999999999999,0.30175022548604186,valid,2.0,29.0,34058312593.261505,17829380637.740444,0.0,6724410.0,5314157817.697501,4909750407.770721,4909750407.770721,2,40
ESP,Spain,core_eu27_uk_ch,Adolfo Suarez Madrid-Barajas Airport,MAD,40.4722,-3.5608,base,v3,875000.0,0.9,4570.0465969982015,5077.829552220224,C00010,grid,36.521765728962976,-4.672392476667529,607.20647423759,rail,False,5192.785476994948,4797.614502195633,2959.8877218871203,1872203796.312408,2460986348.3236823,30414776.45696083,27946163.799653698,4391551084.892705,0.0,0.0,0.4120450365182641,0.5416275790933031,0.006693853361790776,0.006150547342150682,0.052,0.062,salt,0.97416,mandate,2050,0.35,2500.0,market,0.7944343696021479,139.03184,280.0,152136207.47787535,steady_h2_store,1.0,1.0,0.0,0.0,8711.564320653843,9628.571091248983,18340.135411902826,4.108573897592791,906.2828301344176,1517960.009351799,40667631.59705975,39103491.92024975,1.0400000000000003,0.03022226547645788,1.1111,0.2531291941978541,0.2531291941978541,mixed,0.525,0.19907751759365078,0.3128228675415686,heuristic,0.19907751759365078,0.3128228675415686,valid,1.0,47.0,19814226653.9038,18992505138.081577,0.0,4735500.0,4391551084.892705,4057354047.3323703,4057354047.3323703,4,53
FIN,Finland,core_eu27_uk_ch,Helsinki Airport,HEL,60.3172,24.9633,base,v3,220500.0,0.9,1151.651742443547,1279.6130471594968,C00027,grid,60.6560082457808,28.034581451540234,232.72240814589398,rail,False,5231.161792972255,4833.070380527067,2981.762221994185,454905680.673048,522740843.03902966,4188719.848998767,9926160.443810277,991761404.0048866,0.0,0.0,0.39437975598728275,0.45318934205723876,0.003631404007756316,0.00860546900168101,0.042,0.052000000000000005,rock,2.05656,mandate,2050,0.35,630.0,market,0.0,120.55019336061706,137.710899856931,161709771.34549564,flex_fuel_store,1.05,0.8520958464993178,5872.827810495182,9.721461001499963,2852.1035821398555,1535.7480826906917,4387.851664830548,4.04257804362106,227.03634728209016,0.0,10268839.97852142,9508185.165297609,1.0800000000000003,0.07407407407407424,1.1666666666666667,0.2671562523583617,0.2671562523583617,mixed,0.35000000000000003,0.07999999999999999,0.36847011207897773,heuristic,0.07999999999999999,0.36847011207897773,valid,2.0,5.0,5080894272.677915,4067649125.507616,0.0,1193346.0,991761404.0048866,916288361.1601148,916288361.1601148,14,35
ITA,Italy,core_eu27_uk_ch,Rome Fiumicino Airport,FCO,41.8003,12.2389,base,v3,489999.99999999994,0.9,2559.2260943189926,2843.584549243325,C00024,grid,40.99886752802441,17.03470691128831,553.176399042612,rail,False,5305.505532889981,4901.756561837054,3024.138153747289,1032609906.9030882,1126926897.8931515,15917864.892946502,22058134.31957839,2197512804.0087647,0.0,0.0,0.39720383738760645,0.43348382124371854,0.006122967614612669,0.0084848843099179,0.049,0.059000000000000004,rock,2.05656,mandate,2050,0.35,1400.0,market,0.0,134.91801121105954,248.32787640936442,402184907.1073255,flex_fuel_store,1.1,0.6972013628741359,27846.346603775877,20.74268675587387,4808.66024368439,7212.990365526586,12021.650609210976,4.984058038169934,529.8153343174002,0.0,22819644.39671426,21129300.367328018,1.08,0.07407407407407396,1.2222222222222223,0.216690895597307,0.216690895597307,solar,0.6000000000000001,0.1666741292008939,0.29150183504972166,heuristic,0.1666741292008939,0.29150183504972166,valid,1.0,16.0,11205825978.10808,8532353696.178057,0.0,2651879.9999999995,2197512804.0087647,2030282079.6236978,2030282079.6236978,7,28
PRT,Portugal,core_eu27_uk_ch,Lisbon Airport,LIS,38.7742,-9.1342,base,v3,367500.0,0.9,1919.4195707392448,2132.6884119324945,C00001,grid,38.05409081143069,-8.737689830918631,117.72912190344395,road,False,5316.122988787051,4911.566029340357,3030.190103608619,788159603.3126484,1058118638.5659853,5969504.673364637,12433948.745783472,1864681695.297782,0.0,0.0,0.40342407170163264,0.5416041722000643,0.003055525646390407,0.006364388899494968,0.052,0.062,salt,0.97416,mandate,2050,0.35,1050.0,market,0.6792977149603643,124.11925115963646,165.18886394152238,88993503.08145934,steady_h2_store,1.0,1.0,0.0,0.0,3681.921775629696,4069.492488853875,7751.414264483571,4.184620273033767,370.4715725072926,608280.1207478037,16875721.07085218,16226654.8758194,1.0400000000000003,0.03015671791366013,1.1111,0.24852912143591482,0.24852912143591482,mixed,0.525,0.18714657004765037,0.31633065190423043,heuristic,0.18714657004765037,0.31633065190423043,valid,1.0,2.0,8339428947.930803,8054687868.70622,0.0,1988910.0,1864681695.297782,1722779418.285621,1722779418.285621,0,10
GBR,United Kingdom,core_eu27_uk_ch,Heathrow Airport,LHR,51.47,-0.4543,base,v3,217000.00000000003,0.9,1133.3715560555543,1259.301728950616,C00002,grid,53.244897736809385,-4.605299126473892,464.44011218767224,rail,False,5428.989681181931,5015.843566443986,3094.5241182737004,502003871.90176857,507747240.58648396,6238800.4428839525,9768602.341527576,1025758515.2726641,0.0,0.0,0.42611646623376737,0.43099161581964046,0.005295687438003617,0.008291892837490227,0.054,0.064,salt,0.97416,mandate,2050,0.035,6200.0,market,0.0,115.39111034479785,97.991426034721,152332245.54381526,steady_h2_store,1.0,1.0,0.0,0.0,2743.809690475477,1477.4359871791032,4221.2456776545805,3.9518091672088294,213.63610938916153,269449.00134164316,9731552.054895077,9357261.591245268,1.0399999999999998,0.03541188036060201,1.1111,0.26317060262668357,0.26317060262668357,mixed,0.35000000000000003,0.08,0.36234100187009194,heuristic,0.08,0.36234100187009194,valid,1.0,15.0,5147358349.481683,3675726312.957573,0.0,1174404.0000000002,1025758515.2726641,947698292.2604144,947698292.2604144,6,25
CHE,Switzerland,core_eu27_uk_ch,Zurich Airport,ZRH,47.4582,8.5555,base,v3,350000.0,0.9,1828.0186387992806,2031.1318208880898,C00000,grid,46.2106357891564,6.675290859156185,268.97260094085146,rail,False,5572.162654307015,5148.121076314252,3176.132712954998,867830642.7250957,984406144.4509246,7182823.672127917,11804358.51979378,1871223969.367942,0.0,0.0,0.44498272500268,0.5047571577924959,0.003683014050760724,0.006052719692579877,0.041,0.051000000000000004,rock,2.05656,mandate,2050,0.35,1000.0,market,0.6858056902007084,118.1359635867164,119.12388817070392,79032959.63951327,steady_h2_store,1.0,1.0,0.0,0.0,5075.844434268579,3045.5066605611473,8121.351094829726,4.602516432885425,352.9091623357125,323012.69316213595,16075718.16271636,15457421.310304193,1.04,0.02093199813295469,1.1111,0.22596334313313896,0.22596334313313896,mixed,0.375,0.11210047837918415,0.2946255592274283,heuristic,0.11210047837918415,0.2946255592274283,valid,1.0,8.0,9868057124.952976,7991738041.445753,0.0,1894200.0,1871223969.367942,1728823825.2990417,1728823825.2990417,0,8
NLD,Netherlands,core_eu27_uk_ch,Amsterdam Schiphol Airport,AMS,52.3105,4.7683,base,v3,1032499.9999999999,0.9,5392.654984457878,5991.838871619863,C00004,quartile,51.40436483395223,4.282257793166596,143.29209469487478,road,False,5587.086091890775,5161.908840297887,3184.6390723777413,2764692397.3119545,2726234988.1392727,19199797.871417243,34653597.33339166,5544780780.656035,0.0,0.0,0.47926023286134184,0.4725936297725991,0.0033282905569142953,0.006007211197756437,0.05,0.060000000000000005,salt,0.97416,mandate,2050,0.35,2950.0,market,0.6957638134192463,117.15625809585971,111.5811937658576,223885609.22118792,steady_h2_store,1.0,1.0,0.0,0.0,15805.469174151065,8510.637247619807,24316.106421770874,4.669684436295433,1041.4453804532204,1111800.5503209375,47439919.97040506,45615307.663851015,1.04,0.03085692663071242,1.1111,0.22271312209376096,0.22271312209376096,mixed,0.35000000000000003,0.08000000000000002,0.2999762864881658,heuristic,0.08000000000000002,0.2999762864881658,valid,1.0,3.0,29183030044.847946,21240723724.700336,0.0,5587889.999999999,5544780780.656035,5122822963.248112,5122822963.248112,0,6
